filepath=/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx,len=47
page_content='关于印发《青岛自贸片区促进融资租赁发展扶持办法》的通知' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='第七条 申领扶持资金的公司，应对提交材料的真实性、合法性负责。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='有弄虚作假、骗取财政资金等行为，取消当年及之后扶持资格，对已发放的扶持资金依法追回，并追究相应法律责任。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='第八条 本办法所述的“以上”、“不超过”包括本数。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='第九条 如遇新旧政策变更，按新政策执行。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='同一扶持对象同一内容符合上级和片区多项扶持政策的，按“就高不重复”的原则享受。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='第十条 本办法由青岛自贸片区财政金融部负责解释。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='本办法自发布之日起执行，有效期至2024年12月31日。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='自2022年1月1日起至本办法施行之日前符合申请条件的各类融资租赁公司，参照适用本办法。' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='附件：1.' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='青岛自贸片区融资租赁公司扶持资金申请表' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='2.' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
page_content='承诺书' metadata={'source': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74/关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'category_depth': 0, 'last_modified': '2024-08-06T10:24:16', 'languages': ['zho'], 'file_directory': '/workspace/qanything_local/QANY_DB/content/zzp/20cd1bfdea624a3891f1cd28d8196f74', 'filename': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx', 'filetype': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'category': 'Title', 'file_id': '20cd1bfdea624a3891f1cd28d8196f74', 'file_name': '关于印发青岛自贸片区促进融资租赁发展扶持办法的通知.docx'}
